title,company,location,salary,apply_url,description,easy_apply
AI Engineer,Sarvam AI,"Bangalore, India",18-28 LPA,https://example.com/jobs/sarvam-ai-eng,"Build and ship LLM-powered products. 1-3 yrs hands-on with PyTorch, RAG pipelines, vector databases, and serving inference at scale. Strong Python. Comfort with FastAPI/Docker. Bonus: experience fine-tuning open-weight models.",true
ML Engineer,Fractal Analytics,"Gurgaon, India",14-22 LPA,https://example.com/jobs/fractal-mle,"Design and deploy ML models for enterprise clients. Required: Python, Scikit-learn, TensorFlow or PyTorch, SQL. Experience with model monitoring and Docker preferred. CV/NLP exposure a plus.",true
Computer Vision Engineer,DeepTek,"Remote, India",16-26 LPA,https://example.com/jobs/deeptek-cv,"Object detection and segmentation for medical imaging. Must have YOLO/Detectron2 hands-on, PyTorch, OpenCV, and dataset curation experience. Edge deployment a strong plus.",false
Deep Learning Engineer,Mad Street Den,"Chennai / Remote",20-32 LPA,https://example.com/jobs/msd-dl,"Train and serve CNN/Transformer models for retail vision. Strong PyTorch, distributed training, ONNX/TensorRT for inference. Experience with Triton or custom serving stacks.",true
GenAI Engineer,Yellow.ai,"Bangalore, India",22-35 LPA,https://example.com/jobs/yellowai-genai,"Own RAG and agent stacks for production chatbots. Must have built source-grounded QA systems with hallucination guardrails. Vector DBs (Pinecone/Weaviate/PGVector), LangChain or equivalent, prompt engineering. Python, FastAPI.",true
LLM Engineer,Sprinklr,"Gurgaon / Remote",24-40 LPA,https://example.com/jobs/sprinklr-llm,"Build LLM evaluation harnesses and fine-tuning pipelines. Required: PyTorch, HuggingFace, prompt eng, RAG. Bonus: experience with vLLM, TGI, quantization. Strong systems mindset.",false
MLOps Engineer,Quantiphi,"Bangalore, India",18-28 LPA,https://example.com/jobs/quantiphi-mlops,"Model deployment and lifecycle management on cloud. Docker, Kubernetes, MLflow, CI/CD. Python. Some ML modeling background expected; this is MLOps not pure DevOps.",false
Frontend Engineer (React),Razorpay,"Bangalore, India",20-30 LPA,https://example.com/jobs/razorpay-fe,"Build payment dashboards in React, TypeScript, Next.js. Strong CSS, responsive design. 3+ yrs frontend.",true
AI Research Engineer,Krutrim,"Bangalore, India",30-50 LPA,https://example.com/jobs/krutrim-research,"Research role on Indic LLMs. Pretraining, post-training, eval. Strong PyTorch, distributed training, deep ML fundamentals. Publications welcome.",false
Data Analyst,Swiggy,"Bangalore, India",10-16 LPA,https://example.com/jobs/swiggy-da,"SQL-heavy analytics role on growth team. Tableau/Looker, Excel, basic Python for data wrangling. No ML required.",true
